명칭,우편번호,주소,개요,문의 및 안내,쉬는날,체험안내,체험가능연령,이용시기,이용시간,주차시설,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,상세정보
부산 올림픽동산,48060,부산광역시 해운대구 APEC로 58,"* 24회 서울올림픽을 기념하는 공원, 부산 올림픽동산 *<br /><br />부산 올림픽동산은 제24회 서울올림픽 요트경기를 수영만에서 개최한 것을 기념하기 위해 1988년 7월 97,000㎡ 부지에 조성되었다. 올림픽동산은 야외조각공원, 자전거 놀이마당, 잔디광장, 자동차 야외극장(시네파크), 산책로 등 다양한 문화시설이 있어 부산 시민들의 휴식처로 사랑받고 있다. 요트경기장을 중심으로 하여 주변에는 길게 연결된 산책로가 있으며, 산책로를 따라 가지각색의 조형물이 자리한 야외조각공원이 있어 다양한 조각품 등을 감상할 수 있다. 그리고 넓은 잔디광장 안에 드문드문 심어져 있는 울창하고 큰 나무 그늘아래 한가로이 휴식을 취할 수 있다. 또 공원 안에는 자전거도로가 있어 관광객뿐만 아니라 부산 시민들도 많이 이용하고 있다.",051-749-5600,연중무휴,,,,상시가능,,불가,없음,,"화장실:있음
이용가능시설:야외조각공원, 잔디광장, 산책로 등
"
부산 암남공원,49276,부산광역시 서구 암남공원로 185(암남동),"넓이는 56만 2500㎡이다. 자연공원으로 동편에 남항, 서편에 감천항, 앞쪽에 동물검역소와 인접하여 있다. 남쪽에는 한려해상국립공원이 연결된다. 부산 서구 암남동에 위치한 암남 공원은 부산의 번화가인 남포동에서 불과 4㎞에 불과하다. 옛날엔 혈청소 입구로 불리던 이 길은 해안절경이 빼어난 데다 송도해안과 부산 남항을 한눈에 조망할 수 있다. 1972년 12월 30일 건설부 고시로 공원으로 지정되었다. 그러나 군사보호구역 내에 묶여 한동안 출입이 통제되다가 1996년 4월 5일 개방되었다. 이후 총사업비 34억 원을 투자하여 전망대·구름다리·산책로·광장·야외공연 무대 등의 시설과 주차장을 조성하였다. 해양성 수목이 숲을 이루고 있으며 기암절벽이 깎아지른 듯 솟아 있어 푸른 바다와 함께 절경을 이룬다. 이곳에서 빗살무늬토기·패총 등 신석기시대 유물이 발견되기도 하였다.

입구에서 오솔길을 따라 오르는 산길은 소나무가 울창하여 삼림욕을 즐길 수 있으며, 구름다리를 타고 오르는 정상에는 전망 좋은 정자가 서 있다. 군데군데 체육시설이 설치되어 있고, 바닷가 쪽으로는 바다낚시를 할 수 있는 시설이 갖추어져 있다. 앞으로는 자연학습장도 조성하여 문화와 생태학습 공간으로도 활용할 계획이다. 송도해수욕장에서 도보로 20분 거리에 있으며, 인근에 두 도 공원과 송림공원이 있다. 약 1억 년 전 형성된 퇴적암과 원시림, 101종의 야생화와 374종의 식물 등 도심 속에서 보기 드문 자연 생태가 군락을 이루고 있으며 낚시터, 전망대, 산책로 등을 갖춘 원시 자연공원이다. 입구에서 오솔길을 따라 오르는 산길은 소나무가 울창하여 삼림욕을 즐길 수 있으며, 구름다리를 타고 오르는 정상에는 전망 좋은 정자가 서 있다. 군데군데 체육시설이 설치되어 있고, 바닷가 쪽으로는 바다낚시를 할 수 있는 시설이 갖추어져 있다.",051-240-4538,연중무휴,,,,,주차 가능,불가,없음,,"입 장 료:무료
화장실:있음
이용가능시설:조각작품, 광장, 구름다리, 팔각정자, 낚시터, 전망대, 체육시설(테니스장 등 각종 운동기구)
"
홍법사(부산),46206,부산광역시 금정구 두구로33번길 202(두구동),"홍법사는 도심의 근교에 자리한 지리적 여건과 숲속 동산으로 이루어진 자연적 여건으로 바쁘고 지친 현대인들의 심신을 부처님 품안으로 인도하는 생활 속의 수행도량이며, 생활불교센터이다. 홍법사는 기존의 산사와 달리 약 49,587m²(15,000여 평)의 넓은 농장에 문을 연 농장사찰이다. 금정산 뒤편 철마산 기슭에 자리한 홍법사는 2003년도 농장을 일부 개조하여 개원했다. 홍법사는 불교의 생활화, 현대화, 세계화를 위해 머무름 없는 포교 원력과 실천수행으로 열린 불교를 지향하는 다양한 활동을 하고 있다. 독거노인 및 소년소녀가장 돕기 등 이웃과 함께하는 자비의 실천수행, 꿈나무들에게 불성을 심어주는 동자승 단기출가, ""세계는 하나다""라는 기치아래 펼치는 외국인 포교, 전통문화의 계승과 발전을 위한 각종 문화강좌, 유적답사 및 문화체험활동 등을 갖는다. 홍법사를 미리 알고 방문한다면 더 알차게 여행을 즐길 수 있을 것이다. 홍법사에서 둘러볼만한 장소는 크게 원상과 대웅전, 관음전을 들 수 있다. 우선 큰법당을 지나면 넓은 잔디마당 입구에 원상이 있다. 법계를 상징하는 연화단 위에 여의주를 문 쌍용이 있고, 그 위에 구름이 떠가는 문양으로 원상을 나타내었다.<br>",051-508-0345,연중개방,"템플스테이 안내 <a href=""http://www.busanbuddhism.net/page/?pid=page0401""target=""_blank"" title=""새창: 템플스테이 "">http://www.busanbuddhism.net/page/?pid=page0401</a>",,,,주차 가능,불가,불가,,"이용가능시설:편의시설 : 강둑 산책로, 매점, 커피숍, 기념품판매가게, 3층 겔러리<br />
교육시설 : 햇살 어린이집, 어린이 센터, 교육관, 문화관<br />
농장시설 : 4계절 다양한 수목과 꽃, 천연 생태연못관찰<br />
위생시설 : 화장실, 음수대 등<br />
특수시설 : 대형, 중형 잔디, 야외 공연장 및 전시장
화장실:있음
"
송도마을,"602-030,1",부산 서구 암남동," * 바다와 송림이 아름다운 어촌마을, 송도마을 *<br />아미동의 유래가 된 아미골의 남쪽이란 의미에서 이름 붙여진 암남동은 암남반도 남쪽에 자리잡고 있으며, 천마산 남쪽 기슭에서 해변까지의 송도(松島)가 마을의 중심을 이루고 있다. 1913년 무렵 한국에서 처음으로 해수욕장이자 관광지로 개발된 송도는 소형 어선을 이용한 어선어업, 마을어업, 양식어업 등에 종사하는 전형적인 도심형 어촌으로 사계절 싱싱한 수산물이 생산되며, 배를 이용해 가족단위의 선상낚시를 즐길 수도 있다.<br />* 서구에 자리한 제1호 해수욕장, 송도 해수욕장 *<br />해수욕장 오른편에 있는 거북섬에 소나무가 자생하고 있어 송도라는 이름이 붙여졌다. 일제 강점기 때 일본 거류민이 송도 유원주식회사를 설립하고 수정이라는 휴게소를 설치한 뒤 바다 기슭의 사장을 해수욕장으로 개발하였는데, 이것이 한국에서는 처음 개발된 해수욕장이다. 옛날부터 해수욕장으로 이름을 드높였으나 바닷물이 오염되고 백사장이 줄어들어 한동안 송도 해수욕장은 침체를 겪었다. 하지만 5년 여 간 대대적인 정비사업을 통해 사계절 즐길 수 있는 해변공원으로 새롭게 태어났다.<br>",암남동 주민센터 051-240-6661,,,,,,,없음,없음,,
금련산,48428,부산광역시 수영구 광안동,"* 연꽃은 닮은 산세, 금련산 * <br>해발 415m의 금련산의 유래는 산의 모양이 연꽃  모양이라 해서 그렇다는 말도 있고, 부처님 앞에 공양을 올릴 때 황금색 금련화로  말미암아 불려지게 되었다는 말도 있다. 반야암과 바라밀 다사가 있었던 자리엔 축대가  남아있어 예전 명산으로 이름을 날렸을 때의 흔적을 볼 수 있다. 또한 금련산에서  들려오는 절의 종소리가 (연산모종) 으뜸이라 하여 수영 팔경에 들어 있으며, 청소년수련원,  약수터, 등산로 등의 휴식공간이 자리잡고 있다. <br><br> * 금련산의 볼거리 *<br> 산중에는 청소련수련소, KBS방송국, 부산시장관저,  부산시공무원교육원이 자리잡고 있다. 부산도시산업도로가 산허리를 가로질러 달리고  부산지하철 2호선이 지난다. 산 정상부에는 송신탑이 있고 부산항과 광안리해안가  일대를 바라보는 전망이 매우 뛰어나다.  또한, 인근에는 고대 인도 산스크리트어로 ‘마하’는  ‘훌륭한’ ‘존귀한’ ‘위대한’이라는 뜻을 가지고 있는 마하사가 있다.<br>",051-253-8253,,,,,,,없음,없음,,"입산통제 구간:등산로 통제구간&nbsp;안내 <a title=""등산로 통제구간 검색"" href=""http://hiking.kworks.co.kr/sub_map/map_user01.aspx"" target=""_blank"">http://hiking.kworks.co.kr/sub_map/map_user01.aspx</a>
입산통제 기간:[탐방로 통제기간] <br />
(봄가을철 산불조심기간 한시적 등산로구간 통제)<br />
봄철 3월 2일 ~ 4월 30일 <br />
가을철 11월 1일 ~ 12월 15일<br />
-국립공원 11월 15일 ~ 12월 15일(경주,태안해안제외)<br />
※ 통제기간은 기상여건 등을 감안하여 공원별로 일부 조정될 수 있으니 공원탐방 시 해당 공원 홈페이지 공지사항 참고
"
오륙도 등대,48595,부산광역시 남구 오륙도로 130(용호동),"* 선박들의 길잡이, 오륙도 등대<br /><br />오륙도의 명명을 살펴보면 육지에서 가장 가까운 방패섬은 세찬 비바람을 방패처럼 막아준다고 해서 붙여진 이름이고, 솔섬은 소나무가 자생하고 있는데서 비롯된 이름이며, 송곳섬은 송곳처럼 뾰족하게 생겨서 그같은 이름이 붙여졌고 수리섬은 예전에 독수리가 갈매기를 포획하기 위해 모여들었다고해 붙여진 이름이다. <br /><br />또한 굴섬은 가장 큰 섬으로 큰 굴이 있어 천장에서 방울방울 떨어지는 물이 한 사람 몫의 음료수가 될만하다고 한다. 육지에서 가장 멀리 떨어진 등대섬은 위가 평평해 밭섬이라 불리다가 등대가 세워진 뒤부터 등대섬으로 불려졌다고 한다. 부산항 앞 바다에 가지런히 배열된 다섯 개의 바위섬! 부산항을 지키는 수호신인 오륙도이다.<br /><br />오륙도는 부산만 북안 승두말로부터 남동방향으로 뻗어있는 기암절벽의 바위섬들을 말한다. 1972년 6월 26일 부산시 기념물로 지정되었으며, 2007년 명승으로 승격된  이곳은 부산의 대표적인 명물이기도 하다. 오륙도는 밀물과 썰물에 따라 5개 또는 6개 섬으로 보여 오륙도라는 이름이 유래됐다.<br /><br />오륙도 밭섬에 등대가 개설된 것은 지금으로부터 70년 전인 1937년 11월이다. 1876년 부산항이 개항되고 나서 부산의 관문인 오륙도 앞으로 배들이 드나들기 시작하자 항구를 오가는 선박들의 길잡이가 필요해 등대가 세워졌다. 이 등대는 우리나라에서 가장 큰 국제 항구인 부산항을 드나드는 각종 선박이 반드시 지나야 하기 때문에 오륙도와 더불어 부산항의 상징으로 통한다.<br /><br />* 오륙도 등대의 건립에 관하여<br /><br />오륙도 등대는 당초 6.2m 높이로 건립됐다. 그러나 등대가 너무 낡아 보수가 필요해 현상설계 공모를 통해 1998년 12월 웅장한 모습으로 새롭게 태어났으며, 등탑 높이를 27.5m로 높이고 등대 내부에는 우리나라 주요 등대를 살펴볼 수 있는 사진 전시실을 갖췄으며 부산항을 한눈에 굽어볼 수 있는 전망대가 설치돼있다. 여기에 올라서면 활기찬 부산항의 모습과 아름다운 야경이 눈앞에 펼쳐진다.<br /><br />* 최초점등일 - 1937년 11월<br />* 구조 - 백원형 콘크리트(27m)<br />* 등질 - 섬백광 10초 1섬광(FlW10s)<br />* 특징 - 우리나라 최대 항만인 부산항의 상징적인 섬으로 등대역사 전시실이 설치되어 있다.<br>",051-607-6395,연중무휴,,,,,,없음,없음,,
가덕도 등대,46771,부산광역시 강서구 외양포로 10,"* 고대역사를 간직하고 있는 가덕도 등대 *<br />옛 등대 시설은 사무실과 숙소, 등탑이 연결된 복합건물 형태로써 중앙에 높이 9.2m의 등탑이 세워져 있으며, 붉은 벽돌과 미송을 사용했고 출입구 천정에는 그 당시 황실의 상징인 오얏꽃 모양의 문장이 새겨져 있으며, 함석으로 된 지붕은 부식방지를 위해 함석 위에 피치타르가 덮혀져 있다. 가덕도는 한반도의 동남단에 자리잡아 동으로는 사하구 다대포, 서남북은 거제도 동북바다, 북으로는 유라시아와 환태평양의 관문이면서 동북아 허브항만으로 건설한 부산항신항(2006.1.19)과 접하며 진해시 용원동과 접하며 진해시 용원과의 거리는 4㎞, 인근의 거제도와의 거리는 10㎞ 정도이다.<br /><br />* 가덕도는 해상교류의 요츙지 *<br />가덕도가 해상교류 및 군사적으로 중요시 된 것은 조선 중종 39년(1544년) 가덕진과 천성진을 설치하여 임진왜란 때는 치열한 격전장이기도 했던 곳이었으며, 현재 진해만으로 들어가는 중요 요충지로서 가덕도등대는 대한제국의 말기인 1909년 12월에 건립되었으며 옛 가덕도 등대건물은 서구 건축양식으로 지어진 건축물의 하나로 2003년 9월 부산시 유형문화재로 지정되었다. 또한 해양수산부에서도 영구보존 시설로 지정해 원형을 보존하고 있다. 2002년 새로 지어진 지금의 등대는 팔각으로 된 돌출형이며 등탑높이는 40.5m로 우리나라에서 두 번째로 높은 등대이다.<br /><br />* 최초점등일 - 1909년 12월 <br />* 구조 - 백팔각 콘크리트(40m)<br />* 등질 - 섬백광 12초 1섬광(FlW12s) <br />* 특징 - 낙동강 하구언에 위치하며 조선시대부터 봉화를 올려 뱃길을 안내하였던 연대봉 등 고대역사를 간직한 섬으로 등대체험학교를 운영하고 있다. <br>",051-971-9710,,,,,,,없음,없음,,
청사포,48116,부산광역시 해운대구 중동,"해운대 달맞이언덕을 따라 송정방향으로 가다 보면  오른쪽 아래로 보이는 곳이 청사포이다.  부산의 해운대와 송정 사이에는 세 개의 작은 포구가  해안을 따라 나란히 놓여있다. 구덕포, 미포와 더불어 청사포가 바로 그 작은 포구이다.  청사포는 질이 아주 뛰어난 미역이 생산되기로 유명하며,  이곳의 일출은 이미 아름답기로 정평이 나있다. 청사포의 해안 주변을 나있는 갯바위에는  낚시를 하기 위해 몰려온 강태공들로 항상 북적거리며, 특히 고등어가 제철인 가을에는  더 많은 사람들이 찾아온다.   그리고 해안을 끼고 동해남부선이 길게 뻗어 있어  가끔씩 경적을 울리며 달리는 기차가 한적하고 조용한 시골 마을의 풍경을 더욱 더  돋보이게 한다. 이 철로는 전국에서 단 두 곳뿐인 해변 철길이며, 영화  ‘파랑주의보’의 촬영지로도 많이 알려져 더욱 더 사랑을 받고 있다. 또 포구의 한쪽으로  주욱 늘어선 음식점과 횟집에서 한적한 포구를 배경삼아 갓 잡아 올린 싱싱한 해산물을  한 점씩 맛보는 것도 묘미 중에 묘미이다.<br/>청사포의 원래 이름은 ‘푸른뱀’이란 뜻의 청사였다.  그 이름에 얽힌 전설은 예전에 이 마을에 살던 금실 좋은 부부가 살았는데, 고기잡이  나간 남편이 바다에 빠져 죽자, 그 아내는 해안가 바위에 올라 매일 같이 남편을  기다렸는데, 이를 애처롭게 여긴 용왕이 푸른뱀을 보내어 부인을 동해 용궁으로 데러와  죽은 남편과 만나게 했다는 애틋한 전설이다. 그런데 마을지명에 뱀이란 단어가 들어가는  것이 좋지 않다 하여 최근엔 ‘푸른 모래의 포구’란 이름으로 바뀌었다.",051-749-4000,연중개방,,,,00:00~24:00,주차 가능,없음,없음,,"입 장 료:무료
"
좌수영성지,48229,부산광역시 수영구 수영성로 43(수영동),"부산광역시 수영구 수영동 일대에 위치한 좌수영성지는 경상남도 옛 수군의 본영이다. 좌수영은 조선시대에 동남해안을 관할했던 군영으로 예로부터 남쪽지방이 지리적인 요인으로 잦은 왜구의 침략으로 피해를 받자, 왜구를 토벌하기 위해 부산에는 경상좌수영을, 통영에는 경상우수영을 세워 남쪽의 국토 방위를 책임졌다. 원래 좌수영은 남구 감만동에 있었는데 태종때 울산 개운포로 이전했다가 임진왜란 직전에 현재의 수영동으로 옮겨졌다고 한다. 좌수영성의 축조연대는 정확하지 않고 숙종18년(1692년)에 개축한 것이라 한다. 좌수영의 동,서,남,북에는 영일문, 호소문, 주작문, 공진문이라 불리는 4개의 문이 있었으며, 일정한 시각에 폐문루, 관해루에 달아둔 북을 울려 여닫았다. 그밖에 3개의 우물과 4개의 배수구, 옹성, 치성, 보루 등이 있었다. 그러나 일제강점기에 대부분이 파손되어 현재는 성벽임을 짐작하게 해주는 620m 길이의 돌터와 홍예문, 배수구, 그리고 성의 존재를 증명하듯 수영공원 동쪽 입구에 남문만이 자리하고 있으나 이 남문도 제자리가 아니다. 남문 양쪽에는 박견이나는 개 형상을 한 독특한 돌조각이 마치 남쪽을 향해 입구를 수호하듯 나란히 배치되어 있다. 좌수영성지는 부산기념물로 지정되어 있다.<br /><br />* 좌수영성지의 구축 및 역할 *<br /><br />축성에 동원된 인력이 얼마인지 알 수 없으나 현재 남아 있는 돌에 언양·양산 등의 지명이 새겨져 있어, 각지의 민정을 동원하였음을 알 수 있다. 그밖에 3개의 우물, 4곳의 배수구, 옹성(甕城), 치성(雉城), 보루(堡壘) 등이 있었다. 일제강점기에 관리가 소홀하여 대부분 폐허가 되었으나 성벽·남문·홍예문·배수구 등이 남아 있다. 경상좌도 수군절도사, 종군, 왜학훈도(倭學訓導)가 있었으며, 7개의 진(鎭)이 소속되어 모두 65척의 전선과 40척의 나룻배가 낙동강의 동쪽에서 경주까지의 전 해상을 방어하였다.<br>",051-610-4067,,,,,,있음(공영주차장),불가,불가,,"화장실:있음
"
삼락생태공원,46900,부산광역시 사상구 낙동대로 1231,"삼락생태공원은 사상구 엄궁동에서부터 사상구 삼락동(강서낙동대교)까지로 낙동강하구 둔치중 가장 넓은 지역이며, 천연기념물(낙동강하구 철새도래지)로 철새를 위한 습지, 철새먹이터 및 각종 체육시설(61면)을 비롯하여 잔디광장, 야생화단지, 자전거도로, 생태 산책코스 등으로 꾸며진 체육·휴식공간이다.
삼락생태공원은 크게 세부분으로 나누어져 있는데, 첫째, 최상단부와 중앙부분에 시민들을 위한 체육시설들이 위치하고, 둘째, 상단부쪽에 갈대 및 갯버들 군락의 커다란 자연초지(일부 맹꽁이 서석지)가 형성되어 있고, 곳곳에 산책로가 조성되어 있으며, 셋째, 하단부는 갈대습지로 형성되어 있고, 겨울철에 많은 철새들이 찾아오는 곳이다.<br>이처럼 삼락은 가장 넓은 둔치지역(4.72㎢)을 자랑하는 곳으로 다양한 자연환경과 시민들을 위한 친수공간이 조성되어 있다.","삼락생태공원관리사무소 : 051-303-0048, 051-303-0049",연중무휴,,,,24시간,있음(공영주차장),없음,가능,,"입 장 료:무료
이용가능시설:[체육시설] 축구장, 야구장, 테니스장, 배구장, 족구장, 농구장, X게임장, 게이트볼장, 인라인스케이트장, 럭비구장, 그라운드골프장, 파크골프장, 싸이클연습장, 국궁장 등 <br />
[편의시설] 벤치, 자전거 대여 등

주차요금:유료
화장실:있음
"
동래향교,47748,부산광역시 동래구 동래로 103,"1392년(태조 1) 지방에 향교를 지어 유생의 교육에 힘쓰라는 태조의 교서를 받들어 태조 때 와성(臥城, 지금의 동래고등학교 자리)에 설립되었으나 임진왜란 때 소실되었다. 1605년(선조 38)에 현유(賢儒)의 위패를 봉안, 배향하고 지방민의 교육과 교화를 위하여 중건되었다. 중건 당시에는 읍성(邑城) 동문(東門) 밖 지금의 동래고등학교 자리에 있었으나, 1705년(숙종 31)에 부(府) 동쪽 관노산(官奴山) 아래로 옮겼다가, 1745년(영조 21)에 동문 밖으로 다시 이건하였다. 그 뒤 1785년(정조 9)에 내곡동(內谷洞: 지금의 화성초등학교 자리)으로 이전하였으며, 1812년(순조 12)에 현재의 위치로 옮겼다. 현존하는 건물로는 대성전·명륜당·반화루(攀化樓)·내삼문(內三門)·외삼문(外三門)·동무(東?)·서무(西?)·동재(東齋)·서재(西齋)·좌우협문(左右夾門) 등이 있으며, 향교 밖에는 역대 부사들의 흥학비군(興學碑群)을 비롯하여 하마비(下馬碑) 등이 있다. 이 향교의 건물 배치는 문묘와 명륜당이 동서로 구분되어 있는 점이 특이하다. 좌측의 반화루를 들어서면 정면에 명륜당이 있고, 그 좌우 뜰에 동서 양재가 있으며, 우측의 외삼문을 들어서면 다시 내삼문이 있고, 이를지나 대성전과 동서 양무에 이르게 된다. 조선시대에는 국가에서 토지와 전적·노비 등을 지급받아 교관이 70인 정원의 교생을 가르쳤으나, 갑오개혁 이후 신학제 실시에 따라 교육 기능은 없어지고, 봄·가을에 석전(釋奠: 석전제, 공자에게 지내는 제사)을 봉행(奉行)하며 초하루와 보름에 분향을 하고 있다.",051-552-4160,,"청소년충효인성(인성과 충효 및 예절 교육)<br />
주부인성교육(사자소학, 명심보감 등. 고전을 통한 인성지도자교육)<br />
예절지도자(국가공인 예절 지도사 자격증 반)<br />
사서(四書)반(논어, 맹자. 대학, 중용 강독)<br />
삼경(三經)반(시경, 서경, 주역 강독)<br />
한국사반(한국사 토론광장)<br />
한자 및 한문 반(한자와 한문의 기초)<br />
서예 반(예서 행서 초서 연습)",,,,주차가능,불가,불가,,
충렬탑(부산 충렬사),47755,부산광역시 동래구 충렬대로 345(안락동),"부산 충렬사는 임진왜란때 굳센 항전을 표상한 탑으로 충렬사에 위치해있다. 충렬사는 1592년 일어난 임진왜란 때 일본군과 싸우다 전사한 부산지방의 순국선열이나 공을 세운 선열을 모신 곳이다. 엄밀하게 말하면 전쟁이 끝난 뒤인 1605년에 동래부사 윤훤이 동래읍성 남문 안에 동래부사 송상현의 위패를 모신 송공사를 지어 매년 제사를 지낸 것이 그 시초이다. 그 후 1624년 선위사 이민구의 청으로 '충렬사'라는 사액이 내려짐에 따라 송공사는 충렬사로 이름이 바뀌었다.<br /><출처: 문화재청><br />* 탑 28.6m, 좌대 6.4m",051-888-7211,,,,,,,없음,없음,,
금강사(부산),47700,부산광역시 동래구 우장춘로 211(온천동),"금강사는 동래구 온천동 금강공원내에 위치하고 있으며, 금강사 대웅보전은 금강사내에서 제일 큰 전각이다. 월례법회, 연중법회 등을 통하여 불교의 가르침을 전하고 있다.<br>",051-555-1383,,,,,,,없음,없음,,
태종대 전망대,49127,부산광역시 영도구 전망로 24,"태종대 앞바다 멀리 수평선이 아스라이 바라보이는 순환도로 서남쪽 끝 부근에 전망대가 있으며, 1999. 8월 재건축된 이 건물은 총 526평(지하1층, 지상3층) 규모로 전망대와 레스토랑, 간이매점 등의 편의시설을 갖추고 있다. 전망대가 건립된 자리는 본래 자살바위라는 이름으로 널리 알려진 바위가 서 있던 곳으로 1970년대 초기까지만 하더라도 극심한 생활고나 실연 등의 괴로움을 이기지 못한 사람들이 이곳 낭떠러지 아래로 몸을 던져 목숨을 끊음으로써 사회문제를 불러일으키곤 했던 곳이다.<br>",051-405-1222,,,,,"주간 09:00 ~18:00<br />
야간 18:00 ~22:00","* 입구 주차장 (65면, 중·대형버스 주차)<br />
* 신설 주차장 (405면, 승용차 주차)<br />
※ 운영시간 : 09:00~18:00 (그 외 시간 무료주차) / 11:00~20:00 (수연주차장)",불가,없음,,"이용가능시설:기념품샵, 음식점, 한식당, 카페 등
주차요금:소형(승용차, 15인승미만 버스, 2.5톤 미만 화물차) - 1,000원<br />
중형(15인승이상 승합차 포함, 45인승 미만 버스, 2.5톤이상 11톤미만 화물차량) - 2,000원<br />
대형(45인승 이상 버스, 11톤이하 화물차량) - 3,000원<br />
<br />
※ 장애인·국가유공자 차량무료, 경차(50% 할인)
화장실:있음
"
남도해양관광열차 S-트레인(S-train),48760,부산광역시 동구 중앙대로 206,"영남과 호남을 연결하는 남도해양관광열차S-train의 ‘S’는 영문 ‘Sea(바다)’의 이니셜과 곡선 모양의 경전선, 리아스식 해안인 남해안 모양을 형상화했다. 남도해양권을 즐길 수 있는 해양관광열차로 열차의 외관은 한반도 남해안을 지키던 이순신 장군의 거북선을 본따 만들었다. 5량의 객차로 1호차는 힐링실, 2호차는 가족실, 그리고 카페실과 커플실로 채워진 3호차와 다례를 체험할 수 있는 4호차가 있다. 마지막으로 레포츠실과 이벤트실을 겸한 5호차로 구성되어 있다.<br>",1544-7788,,,,,,,없음,없음,,"화장실:있음
이용가능시설:* 객실정보<br />
1호차 - 힐링석(기본석 64석/전망석 4석)<br />
2호차 - 가족실(기본석 40석/가족석 28석/수유실)<br />
3호차 - 카페실(카페실 8석/식당실 22석/커플룸 2인 1세트 8석)<br />
4호차 - 다례실(기본석 36석/다례실좌석 22석)<br />
5호차 - 이벤트실(기본석 42석/자전거거치대 9대)
"
부산 가톨릭 특성화 거리,46252,부산광역시 금정구 오륜대로 57(부곡동),"부산 부곡동 지산고등학교 정문에서 가톨릭대학교 정문 인근 약 120m 구간은 일명 ‘가톨릭 특성화 거리’로 불린다. 한국순교복자수녀회, 오륜대 한국순교자박물관, 사도성요한수도회 등 가톨릭 관련 대학과 고등학교를 비롯해서 두 개의 수녀회 본원과 성지, 복지· 피정 시설까지 자리하고 있기 때문이다. 지산고등학교 벽면에는 한국 가톨릭의 박해기·부흥기를 거쳐 현재에 이르기까지 역사적 사건이 조각돼 있다.<br>",부산가톨릭대학교 051-515-5811,,,,,,,없음,없음,,
옛백제병원,48816,부산광역시 동구 중앙대로209번길 16(초량동),"부산에 남아있는 근대건축물 중에서 지금까지 계속해서 용도변경을 통해 끊임없이 변화하며 보존되어있는 곳이다. 1922년 명지 출신의 최용해씨가 지은 최초의 근대식 개인종합병원으로 당시 1,2층 건물이 대부분이었던 시절, 5층 벽돌건물에 서양의료진을 두며 성업했으나 악성 루머와 경영난을 겪게 되자 최용해가 일본으로 야반도주하면서 관리권이 중국인에게 넘어가게 된다.<br>",051-440-4064,"공휴일, 주말",,,,,,없음,없음,,
김민부전망대,48808,부산광역시 동구 영초윗길26번길 11(초량동),‘기다리는 마음’으로 유명한 김민부 시인을 기리고자 부산항이 잘 보이는 168계단 옆에 만들어진 전망대이다. 김민부는 고등학교 1학년 때 등단을 한 천재시인으로 우리에게 ‘자갈치 아지매’라는 라디오 프로그램의 피디로 더욱 잘 알려져 있다. 전망대에 올라서서 바다를 바라보면 절로 누군가를 기다리는 이들의 마음을 느낄 수 있는 장소이다.<br>,051-440-4342,연중무휴,,,,,,불가,가능,,"입 장 료:무료
이용가능시설:카페
"
남선창고터,48816,부산광역시 동구 초량로13번길 53(초량동),"1900년 함경도에서 배로 물건을 싣고 와서 보관하던 최초의 물류창고로, 초기에는 북선창고라 불리었으며 경부선을 통해 서울까지 물류를 운반하기 전에 보관하는 곳이었다. 이후 경원선이 생기며 윗지방에 북선창고가 만들어지자 이후에 이름을 남선창고로 변경하였다. 주로 명태를 많이 보관했다하여 일명 명태고방으로도 불린다. 냉동고가 없던 시절에 바닥에 수로를 만들어 물기를 제거하고 서늘하게 유지하는 방법을 사용했다. 바로 옆 옛백제병원과는 달리 2009년에 철거되어 지금은 붉은 벽돌로 쌓은 담장만 남아있다.<br>",051-440-4064,,,,,,,없음,없음,,
168계단,48808,부산광역시 동구 영초길197번길 9,"산복도로에서 부산항까지 가장 빨리 내려갈 수 있는 지름길이다. 산복도로의 대표적인 특징중 하나인 세로로 난 지상6층 높이의 아찔한 계단이다. 계단의 수가 168개이며 계단 아래에 원래 3개의 우물이 있었다고 한다. 현재는 식수로 쓰던 1개의 우물만 남아있으며 물이 부족하던 시절 물을 받기 위해 길게 줄을 서있는 모습을 상상해 볼 수 있다. 물지게, 물항아리 등 남녀노소 누구나 만나는 만남의 장이었으며 소문이 퍼지는 근원지였다.<br>",051-253-8253,,,,,,,없음,없음,,
유치환 우체통 전망대,48805,부산광역시 동구 망양로580번길 2(초량동),"부산 동구 초량동 산복도로에 있는 전망대로 청마 유치환 시인의 예술과 문학정신을 기리고자 이곳에 우체통을 설치하였다. 경남여고 교장을 2차례 지내고 동구에서 생을 마감한 청마 유치환을 기리며 부산항을 한눈에 전망할 수 있는 명소이다. 전망대는 1층과 2층, 옥상으로 나뉜다. 1층은 계단식 야외공연장, 사방이 통유리로 설계된 2층은 89.54㎡ 규모로 미술전시용으로 사용된다.<br /><br />* 개관일 : 2013년 05월 15일<br />* 규모 : 부지면적 180㎡ / 건축연면적 132.77㎡<br>",051-469-9818,매주 월요일,,,,10:00~19:00,없음,불가,가능,,
